category_id,parent_id,category_name
9641,3320,Rabbits
2347,8360,Asian Antiques
11581,2347,China
3320,11581,Statues
9911,3320,Rats
2347,8360,Asian Antiques
11581,2347,China
3320,11581,Statues
1589,3320,Roosters
2347,8360,Asian Antiques
11581,2347,China
3320,11581,Statues
5648,3320,Sheep
2347,8360,Asian Antiques
11581,2347,China
3320,11581,Statues
9928,3320,Snakes
2347,8360,Asian Antiques
11581,2347,China
3320,11581,Statues
900,3320,Tigers
2347,8360,Asian Antiques
11581,2347,China
3320,11581,Statues
12656,3320,Turtles
2347,8360,Asian Antiques
11581,2347,China
3320,11581,Statues
11163,3320,Other Antique Chinese Statues
2347,8360,Asian Antiques
11581,2347,China
888,11581,Swords
2347,8360,Asian Antiques
11581,2347,China
9511,11581,Tables
2347,8360,Asian Antiques
11581,2347,China
12382,11581,Tea Caddies
2347,8360,Asian Antiques
11581,2347,China
1634,11581,Teapots
2347,8360,Asian Antiques
11581,2347,China
1994,11581,Vases
2347,8360,Asian Antiques
11581,2347,China
4496,11581,Other Chinese Antiques
2347,8360,Asian Antiques
10264,2347,India
2347,8360,Asian Antiques
10030,2347,Japan
473,10030,Armor
2347,8360,Asian Antiques
10030,2347,Japan
6853,10030,Bells
2347,8360,Asian Antiques
10030,2347,Japan
6768,10030,Bowls
2347,8360,Asian Antiques
10030,2347,Japan
8824,10030,Boxes
2347,8360,Asian Antiques
10030,2347,Japan
1856,10030,Dolls
2347,8360,Asian Antiques
10030,2347,Japan
11887,10030,Fans
2347,8360,Asian Antiques
10030,2347,Japan
127,10030,Glasses & Cups
2347,8360,Asian Antiques
10030,2347,Japan
9427,10030,Kimonos & Textiles
2347,8360,Asian Antiques
10030,2347,Japan
1088,10030,Masks
2347,8360,Asian Antiques
10030,2347,Japan
4835,10030,Netsuke
2347,8360,Asian Antiques
10030,2347,Japan
10863,10030,Paintings & Scrolls
2347,8360,Asian Antiques
10030,2347,Japan
298,10030,Plates
2347,8360,Asian Antiques
10030,2347,Japan
7267,10030,Prints
2347,8360,Asian Antiques
10030,2347,Japan
3320,10030,Statues
2347,8360,Asian Antiques
10030,2347,Japan
888,10030,Swords
2347,8360,Asian Antiques
10030,2347,Japan
12382,10030,Tea Caddies
2347,8360,Asian Antiques
10030,2347,Japan
1634,10030,Teapots
2347,8360,Asian Antiques
10030,2347,Japan
3885,10030,Tsuba
2347,8360,Asian Antiques
10030,2347,Japan
1994,10030,Vases
2347,8360,Asian Antiques
10030,2347,Japan
8347,10030,Other Japanese Antiques
2347,8360,Asian Antiques
5126,2347,Korea
2347,8360,Asian Antiques
5936,2347,Middle East
2347,8360,Asian Antiques
12013,2347,Mongolia
2347,8360,Asian Antiques
5000,2347,Southeast Asia
12692,5000,Amulets
2347,8360,Asian Antiques
5000,2347,Southeast Asia
6853,5000,Bells
2347,8360,Asian Antiques
5000,2347,Southeast Asia
9393,5000,Bracelets
2347,8360,Asian Antiques
