category_id,parent_id,category_name
5084,1988,kūdikių vonios ir odos priežiūros rinkiniai
1024,373,spausdintuvų rašalo surinktuvai
3139,3012,"        <Name ID=""1406145"" Value="""" langid=""39""/>
"
3345,1331,skalbimo mašinų dalys ir priedai
5721,1835,"        <Name ID=""2852914"" Value="""" langid=""39""/>
"
2623,1358,gulsčiukai
1942,2510,prietaisų skydelio vaizdo kameros
306,4948,popieriaus pjaustyklės
1910,236,diskų įrenginio skyriaus dangteliai
1109,403,piešimo lentos
1945,2835,matavimai
5290,5278,ventiliacijos angų įrangos priedai
6190,1171,"        <Name ID=""3141928"" Value="""" langid=""39""/>
"
5461,6102,moterų terminiai apatiniai drabužiai
1698,1986,mažylių maitinimo padėklai
2153,1990,krepšiai magnezijai
1419,2707,šaltdėžės
4946,1,"        <Name ID=""2207812"" Value="""" langid=""39""/>
"
2438,2035,pinigų dėžutės
4400,1938,skalbinių džiovyklų ir virvių priedai
446,431,rankiniai įrankiai vokams atplėšti
1256,4885,padėklai maistui patiekti
3967,5833,gertuvės naminiams gyvūnams
4065,2714,dujų kasečių ir balionų priedai
5729,5667,"        <Name ID=""2854473"" Value="""" langid=""39""/>
"
4179,4176,"        <Name ID=""1926929"" Value="""" langid=""39""/>
"
3288,1280,skutimosi peiliukai
2611,1333,šepetėliai veidui valyti
434,431,vokai su langeliu
6115,6110,"        <Name ID=""3125656"" Value="""" langid=""39""/>
"
2852,1677,krepšeliai ir padėklai plautuvėms
5244,4776,vandentiekio sistemos
3954,2295,karnavalinės ir žaidimų kaukės
3165,1966,automobilių duslintuvai
3939,1119,kepuraitės šventėms
2228,2115,sportinės kanojos
5923,2835,"        <Name ID=""3087823"" Value="""" langid=""39""/>
"
4026,4882,picos kepimo įrankių rinkiniai
3696,4881,fondiu puodai
1908,1884,elektriniai obliai
5997,4786,"        <Name ID=""3108911"" Value="""" langid=""39""/>
"
1269,1684,skalbinių krepšiai
1452,1293,gaubliai
5124,5913,"        <Name ID=""2321657"" Value="""" langid=""39""/>
"
4702,1732,"        <Name ID=""2139455"" Value="""" langid=""39""/>
"
4276,4273,sojų pienas
1070,854,nelipnios etiketės
3255,4918,apsaugos signalizacijų sistemos
5771,1866,"        <Name ID=""2878666"" Value="""" langid=""39""/>
"
3812,3807,unisekso stiliaus pižamos
3505,1962,dviračių padangos
2215,2115,banglenčių pelekai
5884,5880,"        <Name ID=""3065620"" Value="""" langid=""39""/>
"
5211,1578,moteriški džinsai
2038,1884,elektrinės dažų purškimo sistemos
1382,4918,apsauginės įėjimo kontrolės sistemos
1782,1315,ledo smulkintuvai
453,4974,rašymo priemonės
3319,897,apsauginiai planšečių laikikliai
3566,4454,tualeto kilimėliai
1305,225,spausdinimo ir skenavimo reikmenys
1725,1058,garsų maišikliai
6018,6016,"        <Name ID=""3112096"" Value="""" langid=""39""/>
"
3866,4525,apsauginiai gaubtai augalams
1006,558,projekciniai objektyvai
1203,4918,pakabinamos spynos
3525,585,striukės fotografams
3143,3012,putojantys losjonai nuo saulės
3958,2115,plaukimo rinkiniai
3437,2647,išmaniųjų laikrodžių priedai
4058,3474,turistinių maisto gaminimo indų priedai
5372,2295,"        <Name ID=""2475110"" Value="""" langid=""39""/>
"
1734,1732,muzikiniai būgnai
2221,2115,burlentės
3621,3580,šratų užtaisymo reikmenys
376,373,popieriaus padavimo ratukai spausdintuvui
47,21,ženklinimo programinė įranga
4666,4072,saksofonai
4159,1266,negazuotas vanduo
4207,3712,krekeriai
1369,1265,kepiniai
5625,2332,LED skydelių lemputės
4705,1209,apsauginių šalmų priedai
5325,5318,"        <Name ID=""2447036"" Value="""" langid=""39""/>
"
2176,2113,riedlenčių guoliai
4103,910,navigatorių krovikliai ir adapteriai
